Year,ZipCode,Building_Category,Current_Value,Current_Maintenance,Senior Population
2011,V5K,Commercial,1407360.2641200821,203154.00709326848,50
2011,V5K,Commercial,1061714.2942406824,188241.90271428006,8
2011,V5K,Commercial,1094392.2945321458,167804.97564593272,27
2011,V5K,Commercial,1308989.734101579,209028.1478013184,47
2011,V5K,Commercial,1252946.0423761515,207390.59541081043,46
2011,V5K,Commercial,1044844.0564272659,218402.12877524,19
2011,V5K,Commercial,1189372.5366276153,233981.93773385586,20
2011,V5K,Commercial,1252119.745729486,170623.3014915486,9
2011,V5K,Commercial,1281821.949673349,174911.38493428496,20
2011,V5K,Commercial,1413113.44871715,166667.242271995,39
2011,V5K,Comprehensive Development,1029123.4227895685,314569.2859613847,13
2011,V5K,Comprehensive Development,903066.1409070364,319416.7384261303,50
2011,V5K,Comprehensive Development,988903.113236327,333509.18146030937,36
2011,V5K,Comprehensive Development,942466.4945813931,383303.55712343956,41
2011,V5K,Comprehensive Development,1017163.2905565103,364500.3581105887,35
2011,V5K,Comprehensive Development,1108549.329604195,368585.36915728584,17
2011,V5K,Comprehensive Development,822123.752170585,288120.1153860326,35
2011,V5K,Comprehensive Development,952143.3503094683,332844.9721117168,27
2011,V5K,Comprehensive Development,823254.4708625961,368183.61687539506,29
2011,V5K,Comprehensive Development,1060875.0066193324,358018.4930882334,45
2011,V5K,Historic Area,1067764.2970353593,194199.89706172948,66
2011,V5K,Historic Area,1541847.176972553,178724.51114385927,61
2011,V5K,Historic Area,1444903.7700377512,239024.30412518186,80
2011,V5K,Historic Area,1448420.8430382274,217012.4221951692,98
2011,V5K,Historic Area,1378167.3577786803,234529.07177694992,99
2011,V5K,Historic Area,1256887.077075783,173478.6467484807,37
2011,V5K,Historic Area,1290032.5384733381,205553.54924583616,58
2011,V5K,Historic Area,1241259.272030264,226715.80401095297,69
2011,V5K,Historic Area,1536578.1980969785,167208.6208464487,23
2011,V5K,Historic Area,1362340.7982018369,197354.93369030854,35
2011,V5K,Historic Area,1158945.075957858,225271.73332979772,11
2011,V5K,Historic Area,1404431.6199451552,172610.99583699007,91
2011,V5K,Historic Area,1503320.902944115,216732.71659045276,61
2011,V5K,Historic Area,1286824.1894104604,219965.53827006716,7
2011,V5K,Historic Area,1441664.438750554,186217.64586505762,32
2011,V5K,Historic Area,1135115.793889662,186485.65126037493,12
2011,V5K,Historic Area,1166641.1154241334,214989.45149836372,0
2011,V5K,Industrial,1426208.7676405967,222377.75415767092,4
2011,V5K,Industrial,1405651.9022212175,211732.62833366837,8
2011,V5K,Industrial,1742640.4999412997,205431.27196494886,8
2011,V5K,Industrial,1460320.6575631388,227357.43301988216,8
2011,V5K,Industrial,1735162.8393376216,232236.3481419443,1
2011,V5K,Industrial,1381397.3770303342,283397.94746111904,4
2011,V5K,Industrial,1754323.7024952918,262891.5739869727,1
2011,V5K,Industrial,1501249.162120524,232184.09040856172,6
2011,V5K,Multiple Family Dwelling,954875.6531947477,252233.04311291542,5
2011,V5K,Multiple Family Dwelling,735679.1276333582,242949.36977964974,44
2011,V5K,Multiple Family Dwelling,777791.2281419281,226908.04343838542,20
2011,V5K,Multiple Family Dwelling,697684.9460024261,209848.86409615257,6
2011,V5K,Multiple Family Dwelling,759040.1483726669,285127.4228746397,44
2011,V5K,Multiple Family Dwelling,729610.2613862428,268553.86518470594,28
2011,V5K,Multiple Family Dwelling,673596.6326932929,277763.18810719176,80
2011,V5K,Multiple Family Dwelling,895897.8890334562,285569.17419635196,27
2011,V5K,Multiple Family Dwelling,967217.6790929147,295562.2569962971,18
2011,V5K,One Family Dwelling,1720247.6480796789,301389.79709942604,8
2011,V5K,One Family Dwelling,1801819.3253624314,294413.8937159813,128
2011,V5K,One Family Dwelling,2362048.8992096167,285793.3067917125,70
2011,V5K,One Family Dwelling,1924092.5086124984,261554.6284586739,73
2011,V5K,One Family Dwelling,2268583.0207780222,297473.37177552964,45
2011,V5K,One Family Dwelling,1674021.5824691178,328295.8682088213,144
2011,V5K,One Family Dwelling,1704140.1000261891,330937.65618962765,104
2011,V5K,Two Family Dwelling,1499461.36177232,160299.85900952984,53
2011,V5K,Two Family Dwelling,1621419.629321289,152372.1622120728,29
2011,V5K,Two Family Dwelling,1674688.1725889877,206169.8090072342,79
2011,V5K,Two Family Dwelling,1622944.4863973246,209268.8984520708,62
2011,V5K,Two Family Dwelling,1309169.375753956,171558.3415189567,32
2011,V5K,Two Family Dwelling,1528517.9988807628,160570.26742753803,77
2011,V5K,Two Family Dwelling,1361942.6022021356,206934.5593480668,93
2011,V5K,Two Family Dwelling,1212030.9618128713,186736.24071603955,34
2011,V5K,Two Family Dwelling,1573421.731142226,183071.8531977175,78
2011,V5K,Two Family Dwelling,1523252.9285714312,216396.71803496598,57
2011,V5K,Two Family Dwelling,1510252.675620194,187575.96942298693,33
2011,V5K,Two Family Dwelling,1270035.6079214786,202996.51386986964,94
2011,V5K,Two Family Dwelling,1190059.5916506818,156981.65031019307,128
2011,V5L,Commercial,1320584.030226494,187494.192438148,45
2011,V5L,Commercial,1332826.5776875813,220681.43290044993,9
2011,V5L,Commercial,1094537.5073687837,179071.96814334605,23
2011,V5L,Commercial,1280274.6497831447,180520.3559635296,30
2011,V5L,Comprehensive Development,901499.8419001673,357672.0081797783,5
2011,V5L,Comprehensive Development,950679.5249850872,302884.04952124367,46
2011,V5L,Comprehensive Development,879466.82403692,258898.97940562037,37
2011,V5L,Comprehensive Development,986425.6684431792,329860.3710827561,3
2011,V5L,Comprehensive Development,827162.0311071132,337359.9344326142,21
2011,V5L,Comprehensive Development,1023520.056262256,287037.94739485317,46
2011,V5L,Historic Area,1156532.7530276303,171381.60576884812,72
2011,V5L,Historic Area,1118897.24208951,193262.77411893534,17
2011,V5L,Historic Area,1493498.3684030136,219659.04243474835,63
2011,V5L,Historic Area,1523232.5134039687,163420.6100926762,52
2011,V5L,Historic Area,1521334.676078616,181698.11693186904,69
2011,V5L,Historic Area,1148380.431480049,188624.80867401822,50
2011,V5L,Historic Area,1472625.541935845,229136.82439965734,40
2011,V5L,Industrial,1811817.578340153,269797.78841804795,1
2011,V5L,Industrial,1603035.9876134095,239948.39996145957,1
2011,V5L,Industrial,1546259.4591517712,275211.23399015726,9
2011,V5L,Industrial,1497912.71230654,220147.51338941883,1
2011,V5L,Industrial,1703682.7299858313,252730.56911161516,10
2011,V5L,Industrial,1928575.5306704175,263187.47570732713,4
2011,V5L,Industrial,1417144.5575587826,252642.9722873594,10
2011,V5L,Industrial,1926775.1265918228,287357.0069327561,8
2011,V5L,Industrial,1488271.9686185343,210902.67457325332,8
2011,V5L,Industrial,1815880.3588704902,209482.73475687852,4
2011,V5L,Industrial,1909654.6566099743,246674.4653317078,2
2011,V5L,Industrial,1445565.7310357627,275450.2339992911,5
2011,V5L,Industrial,1391880.8135809323,206516.10529445906,6
2011,V5L,Industrial,1659585.9916043228,215095.8182506106,2
2011,V5L,Industrial,1856809.9355612642,286964.4125261035,4
